snapshot_date,forecast_date,queue,demand
03/06/2026,04/05/2026,billing,15244
03/06/2026,11/05/2026,billing,15783
03/06/2026,18/05/2026,billing,16694
03/06/2026,25/05/2026,billing,16259
03/06/2026,01/06/2026,billing,15564
03/06/2026,08/06/2026,billing,14737
03/06/2026,15/06/2026,billing,15933
03/06/2026,22/06/2026,billing,15896
03/06/2026,29/06/2026,billing,16647
03/06/2026,06/07/2026,billing,16217
03/06/2026,13/07/2026,billing,14323
03/06/2026,20/07/2026,billing,12172
03/06/2026,27/07/2026,billing,12794
03/06/2026,03/08/2026,billing,13634
03/06/2026,10/08/2026,billing,14173
03/06/2026,17/08/2026,billing,15555
03/06/2026,24/08/2026,billing,15735
03/06/2026,31/08/2026,billing,16261
03/06/2026,07/09/2026,billing,15620
03/06/2026,14/09/2026,billing,15099
03/06/2026,21/09/2026,billing,15385
03/06/2026,28/09/2026,billing,14527
03/06/2026,05/10/2026,billing,14391
03/06/2026,12/10/2026,billing,15373
03/06/2026,19/10/2026,billing,15590
03/06/2026,26/10/2026,billing,15863
03/06/2026,02/11/2026,billing,14879
03/06/2026,09/11/2026,billing,14453
03/06/2026,16/11/2026,billing,15087
03/06/2026,23/11/2026,billing,17679
03/06/2026,30/11/2026,billing,18949
03/06/2026,07/12/2026,billing,17672
03/06/2026,14/12/2026,billing,17378
03/06/2026,21/12/2026,billing,16303
03/06/2026,28/12/2026,billing,16557
03/06/2026,04/01/2027,billing,17126
03/06/2026,11/01/2027,billing,17304
03/06/2026,18/01/2027,billing,16902
03/06/2026,25/01/2027,billing,16836
03/06/2026,01/02/2027,billing,15646
03/06/2026,08/02/2027,billing,14901
03/06/2026,15/02/2027,billing,15173
03/06/2026,22/02/2027,billing,15324
03/06/2026,01/03/2027,billing,16076
03/06/2026,08/03/2027,billing,15834
03/06/2026,15/03/2027,billing,15868
03/06/2026,22/03/2027,billing,15284
03/06/2026,29/03/2027,billing,15405
03/06/2026,05/04/2027,billing,15355
03/06/2026,12/04/2027,billing,15583
03/06/2026,19/04/2027,billing,15725
03/06/2026,26/04/2027,billing,15371
03/06/2026,04/05/2026,complaints,4124
03/06/2026,11/05/2026,complaints,3990
03/06/2026,18/05/2026,complaints,3451
03/06/2026,25/05/2026,complaints,3125
03/06/2026,01/06/2026,complaints,3268
03/06/2026,08/06/2026,complaints,3828
03/06/2026,15/06/2026,complaints,3756
03/06/2026,22/06/2026,complaints,3971
03/06/2026,29/06/2026,complaints,4152
03/06/2026,06/07/2026,complaints,4245
03/06/2026,13/07/2026,complaints,3659
03/06/2026,20/07/2026,complaints,3318
03/06/2026,27/07/2026,complaints,3181
03/06/2026,03/08/2026,complaints,3576
03/06/2026,10/08/2026,complaints,3489
03/06/2026,17/08/2026,complaints,3602
03/06/2026,24/08/2026,complaints,3351
03/06/2026,31/08/2026,complaints,3521
03/06/2026,07/09/2026,complaints,3729
03/06/2026,14/09/2026,complaints,3785
03/06/2026,21/09/2026,complaints,4060
03/06/2026,28/09/2026,complaints,4080
03/06/2026,05/10/2026,complaints,4068
03/06/2026,12/10/2026,complaints,4166
03/06/2026,19/10/2026,complaints,3968
03/06/2026,26/10/2026,complaints,4345
03/06/2026,02/11/2026,complaints,4358
03/06/2026,09/11/2026,complaints,3995
03/06/2026,16/11/2026,complaints,3896
03/06/2026,23/11/2026,complaints,3935
03/06/2026,30/11/2026,complaints,4356
03/06/2026,07/12/2026,complaints,4585
03/06/2026,14/12/2026,complaints,4514
03/06/2026,21/12/2026,complaints,4271
03/06/2026,28/12/2026,complaints,3932
03/06/2026,04/01/2027,complaints,4134
03/06/2026,11/01/2027,complaints,3895
03/06/2026,18/01/2027,complaints,3673
03/06/2026,25/01/2027,complaints,3687
03/06/2026,01/02/2027,complaints,3776
03/06/2026,08/02/2027,complaints,3662
03/06/2026,15/02/2027,complaints,3914
03/06/2026,22/02/2027,complaints,3747
03/06/2026,01/03/2027,complaints,3769
03/06/2026,08/03/2027,complaints,3982
03/06/2026,15/03/2027,complaints,4010
03/06/2026,22/03/2027,complaints,4098
03/06/2026,29/03/2027,complaints,4686
03/06/2026,05/04/2027,complaints,4517
03/06/2026,12/04/2027,complaints,4187
03/06/2026,19/04/2027,complaints,3935
03/06/2026,26/04/2027,complaints,4099
03/06/2026,04/05/2026,retentions,5548
03/06/2026,11/05/2026,retentions,5679
03/06/2026,18/05/2026,retentions,6335
03/06/2026,25/05/2026,retentions,5814
03/06/2026,01/06/2026,retentions,5384
03/06/2026,08/06/2026,retentions,5306
03/06/2026,15/06/2026,retentions,5517
03/06/2026,22/06/2026,retentions,5281
03/06/2026,29/06/2026,retentions,5240
03/06/2026,06/07/2026,retentions,5482
03/06/2026,13/07/2026,retentions,5194
03/06/2026,20/07/2026,retentions,4845
03/06/2026,27/07/2026,retentions,4889
03/06/2026,03/08/2026,retentions,5182
03/06/2026,10/08/2026,retentions,5467
03/06/2026,17/08/2026,retentions,6092
03/06/2026,24/08/2026,retentions,5837
03/06/2026,31/08/2026,retentions,5593
03/06/2026,07/09/2026,retentions,5373
03/06/2026,14/09/2026,retentions,5464
03/06/2026,21/09/2026,retentions,5102
03/06/2026,28/09/2026,retentions,5312
03/06/2026,05/10/2026,retentions,5629
03/06/2026,12/10/2026,retentions,5604
03/06/2026,19/10/2026,retentions,5585
03/06/2026,26/10/2026,retentions,5410
03/06/2026,02/11/2026,retentions,5551
03/06/2026,09/11/2026,retentions,5378
03/06/2026,16/11/2026,retentions,5903
03/06/2026,23/11/2026,retentions,5993
03/06/2026,30/11/2026,retentions,6636
03/06/2026,07/12/2026,retentions,7065
03/06/2026,14/12/2026,retentions,6608
03/06/2026,21/12/2026,retentions,6066
03/06/2026,28/12/2026,retentions,5791
03/06/2026,04/01/2027,retentions,5602
03/06/2026,11/01/2027,retentions,5988
03/06/2026,18/01/2027,retentions,6026
03/06/2026,25/01/2027,retentions,5825
03/06/2026,01/02/2027,retentions,5706
03/06/2026,08/02/2027,retentions,5453
03/06/2026,15/02/2027,retentions,5876
03/06/2026,22/02/2027,retentions,5600
03/06/2026,01/03/2027,retentions,5763
03/06/2026,08/03/2027,retentions,5790
03/06/2026,15/03/2027,retentions,5722
03/06/2026,22/03/2027,retentions,5493
03/06/2026,29/03/2027,retentions,5617
03/06/2026,05/04/2027,retentions,5706
03/06/2026,12/04/2027,retentions,5621
03/06/2026,19/04/2027,retentions,5751
03/06/2026,26/04/2027,retentions,6167
03/06/2026,04/05/2026,sales,10635
03/06/2026,11/05/2026,sales,10732
03/06/2026,18/05/2026,sales,10901
03/06/2026,25/05/2026,sales,9718
03/06/2026,01/06/2026,sales,10352
03/06/2026,08/06/2026,sales,10994
03/06/2026,15/06/2026,sales,11039
03/06/2026,22/06/2026,sales,10487
03/06/2026,29/06/2026,sales,9729
03/06/2026,06/07/2026,sales,8691
03/06/2026,13/07/2026,sales,10492
03/06/2026,20/07/2026,sales,10534
03/06/2026,27/07/2026,sales,10902
03/06/2026,03/08/2026,sales,10503
03/06/2026,10/08/2026,sales,10658
03/06/2026,17/08/2026,sales,10867
03/06/2026,24/08/2026,sales,10629
03/06/2026,31/08/2026,sales,10914
03/06/2026,07/09/2026,sales,10819
03/06/2026,14/09/2026,sales,11137
03/06/2026,21/09/2026,sales,10008
03/06/2026,28/09/2026,sales,10343
03/06/2026,05/10/2026,sales,10168
03/06/2026,12/10/2026,sales,11615
03/06/2026,19/10/2026,sales,11920
03/06/2026,26/10/2026,sales,12462
03/06/2026,02/11/2026,sales,12639
03/06/2026,09/11/2026,sales,13871
03/06/2026,16/11/2026,sales,13188
03/06/2026,23/11/2026,sales,13523
03/06/2026,30/11/2026,sales,13732
03/06/2026,07/12/2026,sales,13254
03/06/2026,14/12/2026,sales,13049
03/06/2026,21/12/2026,sales,12083
03/06/2026,28/12/2026,sales,11273
03/06/2026,04/01/2027,sales,11093
03/06/2026,11/01/2027,sales,12597
03/06/2026,18/01/2027,sales,12188
03/06/2026,25/01/2027,sales,11972
03/06/2026,01/02/2027,sales,12094
03/06/2026,08/02/2027,sales,11320
03/06/2026,15/02/2027,sales,11810
03/06/2026,22/02/2027,sales,10621
03/06/2026,01/03/2027,sales,11267
03/06/2026,08/03/2027,sales,10635
03/06/2026,15/03/2027,sales,11505
03/06/2026,22/03/2027,sales,12577
03/06/2026,29/03/2027,sales,12591
03/06/2026,05/04/2027,sales,11921
03/06/2026,12/04/2027,sales,12416
03/06/2026,19/04/2027,sales,11901
03/06/2026,26/04/2027,sales,11517
03/06/2026,04/05/2026,billing,15155
03/06/2026,11/05/2026,billing,15828
03/06/2026,18/05/2026,billing,16893
03/06/2026,25/05/2026,billing,16111
03/06/2026,01/06/2026,billing,15483
03/06/2026,08/06/2026,billing,13833
03/06/2026,15/06/2026,billing,15000
03/06/2026,22/06/2026,billing,15757
03/06/2026,29/06/2026,billing,18815
03/06/2026,06/07/2026,billing,15846
03/06/2026,13/07/2026,billing,14249
03/06/2026,20/07/2026,billing,13342
03/06/2026,27/07/2026,billing,12002
03/06/2026,03/08/2026,billing,13500
03/06/2026,10/08/2026,billing,14375
03/06/2026,17/08/2026,billing,15839
03/06/2026,24/08/2026,billing,15170
03/06/2026,31/08/2026,billing,16173
03/06/2026,07/09/2026,billing,15465
03/06/2026,14/09/2026,billing,15931
03/06/2026,21/09/2026,billing,14812
03/06/2026,28/09/2026,billing,15181
03/06/2026,05/10/2026,billing,14803
03/06/2026,12/10/2026,billing,15210
03/06/2026,19/10/2026,billing,15539
03/06/2026,26/10/2026,billing,15575
03/06/2026,02/11/2026,billing,14964
03/06/2026,09/11/2026,billing,15051
03/06/2026,16/11/2026,billing,15997
03/06/2026,23/11/2026,billing,16875
03/06/2026,30/11/2026,billing,18962
03/06/2026,07/12/2026,billing,18280
03/06/2026,14/12/2026,billing,17358
03/06/2026,21/12/2026,billing,16400
03/06/2026,28/12/2026,billing,16562
03/06/2026,04/01/2027,billing,16921
03/06/2026,11/01/2027,billing,17579
03/06/2026,18/01/2027,billing,16503
03/06/2026,25/01/2027,billing,15741
03/06/2026,01/02/2027,billing,15328
03/06/2026,08/02/2027,billing,15006
03/06/2026,15/02/2027,billing,15464
03/06/2026,22/02/2027,billing,14981
03/06/2026,01/03/2027,billing,16630
03/06/2026,08/03/2027,billing,15847
03/06/2026,15/03/2027,billing,15636
03/06/2026,22/03/2027,billing,14713
03/06/2026,29/03/2027,billing,15651
03/06/2026,05/04/2027,billing,15722
03/06/2026,12/04/2027,billing,15430
03/06/2026,19/04/2027,billing,14993
03/06/2026,26/04/2027,billing,15653
03/06/2026,04/05/2026,complaints,4150
03/06/2026,11/05/2026,complaints,3511
03/06/2026,18/05/2026,complaints,3330
03/06/2026,25/05/2026,complaints,3276
03/06/2026,01/06/2026,complaints,3521
03/06/2026,08/06/2026,complaints,3447
03/06/2026,15/06/2026,complaints,3698
03/06/2026,22/06/2026,complaints,3795
03/06/2026,29/06/2026,complaints,4006
03/06/2026,06/07/2026,complaints,4127
03/06/2026,13/07/2026,complaints,3628
03/06/2026,20/07/2026,complaints,3372
03/06/2026,27/07/2026,complaints,3238
03/06/2026,03/08/2026,complaints,3615
03/06/2026,10/08/2026,complaints,3550
03/06/2026,17/08/2026,complaints,3605
03/06/2026,24/08/2026,complaints,3388
03/06/2026,31/08/2026,complaints,3594
03/06/2026,07/09/2026,complaints,3656
03/06/2026,14/09/2026,complaints,4016
03/06/2026,21/09/2026,complaints,3832
03/06/2026,28/09/2026,complaints,4122
03/06/2026,05/10/2026,complaints,4286
03/06/2026,12/10/2026,complaints,3995
03/06/2026,19/10/2026,complaints,4174
03/06/2026,26/10/2026,complaints,4285
03/06/2026,02/11/2026,complaints,4434
03/06/2026,09/11/2026,complaints,3908
03/06/2026,16/11/2026,complaints,3896
03/06/2026,23/11/2026,complaints,4146
03/06/2026,30/11/2026,complaints,4600
03/06/2026,07/12/2026,complaints,4838
03/06/2026,14/12/2026,complaints,4514
03/06/2026,21/12/2026,complaints,4117
03/06/2026,28/12/2026,complaints,4054
03/06/2026,04/01/2027,complaints,4377
