date,date_display,upper_bound,lower_bound,queue,demand,default_aht,default_occupancy,default_shrinkage,default_contracted_hours,default_opening_fte,budget_fte,work_type,concurrency,weekly_open_hours,target_service_level,target_answer_seconds,default_attrition,aht_seconds,occupancy,shrinkage,contracted_hours_per_week,base_layer,growth_layer,seasonality_layer,transformation_layer,operational_layer,resolved_forecast,resolved_demand,budgeted_fte_new,budgeted_fte,ai_deflection,demand_change,productivity_gain,aht_change,occupancy_change,shrinkage_change,effective_aht,effective_productive_hours,workload_hours,net_requirement,gross_requirement,average_interval_volume,erlang_uplift,requirement_vs_budget,available_supply,new_hires,manual_attrition,structural_attrition,total_attrition,attrition,productive_supply,fte_gap,budget_variance,repeat_demand
04/05/2026,04/05/2026,16104,13766,billing,14935,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,14935.0,14935.0,14935.0,14262.925,14262.925,14262.925,14262.925,110,139.3,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1307.43,84.75,84.75,84.8983630952381,1.7884717855727557,-25.25,100.0,0.0,0.0,0.0,0.0,0.0,100.0,15.25,-10.0,0.0
11/05/2026,11/05/2026,17580,15241,billing,16411,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,16411.0,16426.779807692306,16426.779807692306,15572.587257692308,15572.587257692308,15572.587257692308,15572.587257692308,110,140.7,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1427.49,91.97,91.97,92.693971771978,1.77757918743086,-18.03,100.0,0.0,0.0,0.0,0.0,0.0,100.0,8.03,-10.0,0.0
18/05/2026,18/05/2026,17438,15099,billing,16268,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,16268.0,16299.284615384617,16299.284615384617,15337.626823076922,15337.626823076922,15337.626823076922,15337.626823076922,110,140.9,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1405.95,90.68,90.68,91.29539775641024,1.7794301870223486,-19.32,99.0,0.0,0.0,1.0,1.0,1.0,99.0,8.32,-11.0,0.0
25/05/2026,25/05/2026,16668,14329,billing,15499,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,15499.0,15543.708653846154,15543.708653846154,14533.367591346154,14533.367591346154,14533.367591346154,14533.367591346154,110,133.3,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1332.23,86.24,86.24,86.50814042467948,1.7861023599236208,-23.76,99.0,0.0,0.0,0.0,0.0,0.0,99.0,12.76,-11.0,0.0
01/06/2026,01/06/2026,16719,14380,billing,15549,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,15549.0,15608.803846153844,15608.803846153844,14484.969969230768,13760.72147076923,13760.72147076923,13760.72147076923,110,141.1,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1261.4,81.98,81.98,81.90905637362637,1.7930556197476857,-28.02,99.0,0.0,0.0,0.0,0.0,0.0,99.0,17.02,-11.0,0.0
08/06/2026,08/06/2026,16034,13695,billing,14864,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,14864.0,14935.46153846154,14935.46153846154,13770.49553846154,13081.97076153846,13081.97076153846,13081.97076153846,110,134.2,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1199.18,78.22,78.22,77.86887358058608,1.7996655018883263,-31.78,98.0,0.0,0.0,1.0,1.0,1.0,98.0,19.78,-12.0,0.0
15/06/2026,15/06/2026,16493,14154,billing,15324,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,15324.0,15412.407692307692,15412.407692307692,14102.353038461535,12727.373617211537,12727.373617211537,12091.004936350955,110,137.7,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1166.68,76.26,76.26,75.75817629292581,1.8033270937787085,-33.74,98.0,0.0,0.0,0.0,0.0,0.0,98.0,21.74,-12.0,0.0
22/06/2026,22/06/2026,16732,14393,billing,15562,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,15562.0,15666.74423076923,15666.74423076923,14241.07050576923,12852.56613145673,12852.56613145673,12209.937824883891,110,133.8,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1178.15,76.95,76.95,76.50336983009959,1.802017053922528,-33.05,98.0,0.0,0.0,0.0,0.0,0.0,98.0,21.05,-12.0,0.0
29/06/2026,29/06/2026,18533,16194,billing,17363,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,17363.0,17496.561538461538,17496.561538461538,15781.898507692307,14992.803582307692,14992.803582307692,14992.803582307692,110,137.2,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1374.34,88.78,88.78,89.24287846611722,1.7822250638701558,-21.22,97.0,0.0,0.0,1.0,1.0,1.0,97.0,8.22,-13.0,0.0
06/07/2026,06/07/2026,16692,14353,billing,15522,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,15522.0,15656.325,15656.325,14028.0672,13326.66384,13326.66384,13326.66384,110,137.3,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1221.61,79.58,79.58,79.32538,1.7972244613662425,-30.42,97.0,0.0,0.0,0.0,0.0,0.0,97.0,17.42,-13.0,0.0
