date,date_display,upper_bound,lower_bound,queue,demand,default_aht,default_occupancy,default_shrinkage,default_contracted_hours,default_opening_fte,work_type,concurrency,weekly_open_hours,target_service_level,target_answer_seconds,default_attrition,aht_seconds,occupancy,shrinkage,contracted_hours_per_week,base_layer,growth_layer,seasonality_layer,transformation_layer,operational_layer,resolved_forecast,resolved_demand,budgeted_fte,ai_deflection,demand_change,productivity_gain,aht_change,occupancy_change,shrinkage_change,effective_aht,effective_productive_hours,workload_hours,net_requirement,gross_requirement,average_interval_volume,erlang_uplift,available_supply,new_hires,manual_attrition,structural_attrition,total_attrition,attrition,productive_supply,fte_gap,budget_variance,requirement_vs_budget,repeat_demand,snapshot_date,budget_fte,budgeted_fte_new
04/05/2026,04/05/2026,16324,13985,billing,15155,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15155.0,15155.0,15155.0,14473.025,14473.025,14473.025,14473.025,139.3,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1326.69,85.91,85.91,86.14895833333333,1.7866252777791636,100.0,0.0,0.0,0.0,0.0,0.0,100.0,14.09,-39.3,53.39,0.0,03/06/2026 16:51:47,,
11/05/2026,11/05/2026,16997,14658,billing,15828,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15828.0,15843.219230769231,15843.219230769231,15019.37183076923,15019.37183076923,15019.37183076923,15019.37183076923,140.7,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1376.78,88.92,88.92,89.4010228021978,1.7820063049132466,100.0,0.0,0.0,0.0,0.0,0.0,100.0,11.08,-40.7,51.78,0.0,03/06/2026 16:51:47,,
18/05/2026,18/05/2026,18062,15723,billing,16893,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,16893.0,16925.486538461537,16925.486538461537,15926.882832692309,15926.882832692309,15926.882832692309,15926.882832692309,140.9,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1459.96,93.92,93.92,94.80287400412088,1.7748659105206774,99.0,0.0,0.0,1.0,1.0,1.0,99.0,5.08,-41.9,46.98,0.0,03/06/2026 16:51:47,,
25/05/2026,25/05/2026,17281,14942,billing,16111,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,16111.0,16157.474038461538,16157.474038461538,15107.238225961535,15107.238225961535,15107.238225961535,15107.238225961535,133.3,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1384.83,89.41,89.41,89.92403705929486,1.7812869410122645,99.0,0.0,0.0,0.0,0.0,0.0,99.0,9.59,-34.3,43.89,0.0,03/06/2026 16:51:47,,
01/06/2026,01/06/2026,16653,14314,billing,15483,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15483.0,15542.55,15542.55,14423.4864,13702.31208,13702.31208,13702.31208,141.1,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1256.05,81.65,81.65,81.56138142857142,1.793605046831924,99.0,0.0,0.0,0.0,0.0,0.0,99.0,17.35,-42.1,59.45,0.0,03/06/2026 16:51:47,,
08/06/2026,08/06/2026,15002,12663,billing,13833,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,13833.0,13899.504807692309,13899.504807692309,12815.343432692309,12174.576261057691,12174.576261057691,12174.576261057691,134.2,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1116.0,73.19,73.19,72.46771583962911,1.809351283474865,98.0,0.0,0.0,1.0,1.0,1.0,98.0,24.81,-36.2,61.01,0.0,03/06/2026 16:51:47,,
15/06/2026,15/06/2026,16169,13830,billing,15000,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15000.0,15086.53846153846,15086.53846153846,13804.182692307691,12458.27487980769,12458.27487980769,11835.361135817306,137.7,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1142.01,74.76,74.76,74.15639809409339,1.806209544315187,98.0,0.0,0.0,0.0,0.0,0.0,98.0,23.24,-39.7,62.94,0.0,03/06/2026 16:51:47,,
22/06/2026,22/06/2026,16926,14587,billing,15757,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15757.0,15863.05673076923,15863.05673076923,14419.518568269232,13013.615507862982,13013.615507862982,12362.934732469832,133.8,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1192.91,77.84,77.84,77.46199707061298,1.8003596818861272,98.0,0.0,0.0,0.0,0.0,0.0,98.0,20.16,-35.8,55.96,0.0,03/06/2026 16:51:47,,
29/06/2026,29/06/2026,19985,17646,billing,18815,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,18815.0,18959.73076923077,18959.73076923077,17101.677153846154,16246.593296153846,16246.593296153846,16246.593296153846,137.2,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1489.27,95.68,95.68,96.70591247710622,1.7724940693874278,97.0,0.0,0.0,1.0,1.0,1.0,97.0,1.32,-40.2,41.52,0.0,03/06/2026 16:51:47,,
06/07/2026,06/07/2026,17016,14677,billing,15846,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15846.0,15983.128846153846,15983.128846153846,14320.883446153846,13604.839273846152,13604.839273846152,13604.839273846152,137.3,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1247.11,81.12,81.12,80.98118615384615,1.7945297902582122,97.0,0.0,0.0,0.0,0.0,0.0,97.0,15.88,-40.3,56.18,0.0,03/06/2026 16:51:47,,
