date,queue,ai_deflection,aht_reduction,productivity_gain
05/01/2026,billing,0,0,0
12/01/2026,billing,0,0,0
19/01/2026,billing,0,0,0
26/01/2026,billing,0,0,0
02/02/2026,billing,0,0,0
09/02/2026,billing,0,0,0
16/02/2026,billing,0,0,0
23/02/2026,billing,0,0,0
02/03/2026,billing,0,0,0
09/03/2026,billing,0,0,0
16/03/2026,billing,0,0,0
23/03/2026,billing,0.7,0,0
30/03/2026,billing,1.3,0,0
06/04/2026,billing,2,0.3,0
13/04/2026,billing,2.6,0.6,0
20/04/2026,billing,3.2,0.9,0.2
27/04/2026,billing,3.9,1.2,0.5
04/05/2026,billing,4.5,1.5,0.8
11/05/2026,billing,5.2,1.8,1
18/05/2026,billing,5.9,2.1,1.2
25/05/2026,billing,6.5,2.4,1.5
01/06/2026,billing,7.2,2.7,1.8
08/06/2026,billing,7.8,3,2
15/06/2026,billing,8.5,3.3,2.2
22/06/2026,billing,9.1,3.6,2.5
29/06/2026,billing,9.8,3.9,2.8
06/07/2026,billing,10.4,4.2,3
13/07/2026,billing,11.1,4.5,3.2
20/07/2026,billing,11.7,4.8,3.5
27/07/2026,billing,12.3,5.1,3.8
03/08/2026,billing,13,5.4,4
10/08/2026,billing,13.7,5.7,4.2
17/08/2026,billing,14.3,6,4.5
24/08/2026,billing,15,6.3,4.8
31/08/2026,billing,15.6,6.6,5
07/09/2026,billing,16.2,6.9,5.2
14/09/2026,billing,16.9,7.2,5.5
21/09/2026,billing,17.6,7.5,5.8
28/09/2026,billing,18.2,7.8,6
05/10/2026,billing,18.9,8.1,6.2
12/10/2026,billing,19.5,8.4,6.5
19/10/2026,billing,20.2,8.7,6.8
26/10/2026,billing,20.8,9,7
02/11/2026,billing,21.4,9.3,7.2
09/11/2026,billing,22.1,9.6,7.5
16/11/2026,billing,22.8,9.9,7.8
23/11/2026,billing,23.4,10.2,8
30/11/2026,billing,23.4,10.5,8.2
07/12/2026,billing,23.4,10.8,8.5
14/12/2026,billing,23.4,11.1,8.8
21/12/2026,billing,23.4,11.4,9
28/12/2026,billing,23.4,11.7,9.2
05/01/2026,sales,0,0,0
12/01/2026,sales,0,0,0
19/01/2026,sales,0,0,0
26/01/2026,sales,0,0,0
02/02/2026,sales,0,0,0
09/02/2026,sales,0,0,0
16/02/2026,sales,0,0,0
23/02/2026,sales,0,0,0
02/03/2026,sales,0,0,0
09/03/2026,sales,0,0,0
16/03/2026,sales,0,0,0
23/03/2026,sales,0.5,0,0
30/03/2026,sales,1,0,0
06/04/2026,sales,1.5,0.3,0
13/04/2026,sales,2,0.6,0
20/04/2026,sales,2.5,0.9,0.2
27/04/2026,sales,3,1.2,0.5
04/05/2026,sales,3.5,1.5,0.8
