date,date_display,upper_bound,lower_bound,queue,demand,default_aht,default_occupancy,default_shrinkage,default_contracted_hours,default_opening_fte,budget_fte,work_type,concurrency,weekly_open_hours,target_service_level,target_answer_seconds,default_attrition,aht_seconds,occupancy,shrinkage,contracted_hours_per_week,base_layer,growth_layer,seasonality_layer,transformation_layer,operational_layer,resolved_forecast,resolved_demand,budgeted_fte_new,budgeted_fte,ai_deflection,demand_change,productivity_gain,aht_change,occupancy_change,shrinkage_change,effective_aht,effective_productive_hours,workload_hours,net_requirement,gross_requirement,average_interval_volume,erlang_uplift,requirement_vs_budget,available_supply,new_hires,manual_attrition,structural_attrition,total_attrition,attrition,productive_supply,fte_gap,budget_variance,repeat_demand
04/05/2026,04/05/2026,16319,13980,billing,15149,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,15149.0,15149.0,15149.0,14467.295,14467.295,14467.295,14467.295,110,139.3,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1326.17,85.88,85.88,86.11485119047619,1.7866751029229369,-24.12,100.0,0.0,0.0,0.0,0.0,0.0,100.0,14.12,-10.0,0.0
11/05/2026,11/05/2026,17470,15131,billing,16300,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,16300.0,16315.673076923076,16315.673076923076,15467.258076923075,15467.258076923075,15467.258076923075,15467.258076923075,110,140.7,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1417.83,91.39,91.39,92.06701236263736,1.7784037458498112,-18.61,100.0,0.0,0.0,0.0,0.0,0.0,100.0,8.61,-10.0,0.0
18/05/2026,18/05/2026,17252,14913,billing,16083,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,16083.0,16113.928846153845,16113.928846153845,15163.207044230769,15163.207044230769,15163.207044230769,15163.207044230769,110,140.9,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1389.96,89.72,89.72,90.25718478708791,1.7808319867139846,-20.28,99.0,0.0,0.0,1.0,1.0,1.0,99.0,9.28,-11.0,0.0
25/05/2026,25/05/2026,17309,14970,billing,16139,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,16139.0,16185.554807692308,16185.554807692308,15133.493745192307,15133.493745192307,15133.493745192307,15133.493745192307,110,133.3,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1387.24,89.55,89.55,90.08031991185896,1.781073203234948,-20.45,99.0,0.0,0.0,0.0,0.0,0.0,99.0,9.45,-11.0,0.0
01/06/2026,01/06/2026,16657,14318,billing,15488,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,15488.0,15547.56923076923,15547.56923076923,14428.144246153845,13706.737033846151,13706.737033846151,13706.737033846151,110,141.1,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1256.45,81.68,81.68,81.58772043956043,1.793563300653979,-28.32,99.0,0.0,0.0,0.0,0.0,0.0,99.0,17.32,-11.0,0.0
08/06/2026,08/06/2026,15646,13307,billing,14477,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,14477.0,14546.600961538461,14546.600961538461,13411.966086538461,12741.367782211537,12741.367782211537,12741.367782211537,110,134.2,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1167.96,76.33,76.33,75.84147489411629,1.8031796980943666,-33.67,98.0,0.0,0.0,1.0,1.0,1.0,98.0,21.67,-12.0,0.0
15/06/2026,15/06/2026,16744,14405,billing,15574,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,15574.0,15663.85,15663.85,14332.42275,12935.011531875,12935.011531875,12288.260955281248,110,137.7,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1185.71,77.41,77.41,76.99411626116071,1.8011647346593684,-32.59,98.0,0.0,0.0,0.0,0.0,0.0,98.0,20.59,-12.0,0.0
22/06/2026,22/06/2026,15833,13494,billing,14664,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,14664.0,14762.699999999999,14762.699999999999,13419.2943,12110.913105749998,12110.913105749998,11505.367450462498,110,133.8,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1110.17,72.83,72.83,72.08876848660714,1.8100714263319433,-37.17,98.0,0.0,0.0,0.0,0.0,0.0,98.0,25.17,-12.0,0.0
29/06/2026,29/06/2026,18810,16471,billing,17640,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,17640.0,17775.69230769231,17775.69230769231,16033.674461538463,15231.99073846154,15231.99073846154,15231.99073846154,110,137.2,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1396.27,90.1,90.1,90.66661153846155,1.78027630213079,-19.9,97.0,0.0,0.0,1.0,1.0,1.0,97.0,6.9,-13.0,0.0
06/07/2026,06/07/2026,17200,14861,billing,16031,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,16031.0,16169.729807692307,16169.729807692307,14488.077907692306,13763.67401230769,13763.67401230769,13763.67401230769,110,137.3,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1261.67,81.99,81.99,81.92663102564102,1.7930279396093218,-28.01,97.0,0.0,0.0,0.0,0.0,0.0,97.0,15.01,-13.0,0.0
13/07/2026,13/07/2026,15368,13030,billing,14199,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,14199.0,14335.528846153846,14335.528846153846,12744.28514423077,12107.07088701923,12107.07088701923,12107.07088701923,110,140.7,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1109.81,72.81,72.81,72.06589813701923,1.8101150702801065,-37.19,97.0,0.0,0.0,0.0,0.0,0.0,97.0,24.19,-13.0,0.0
20/07/2026,20/07/2026,13756,11417,billing,12586,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,12586.0,12719.121153846154,12719.121153846154,11230.983978846154,10669.434779903846,10669.434779903846,10669.434779903846,110,137.7,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,978.03,64.8,64.8,63.50854035657051,1.8280645020675523,-45.2,96.0,0.0,0.0,1.0,1.0,1.0,96.0,31.2,-14.0,0.0
27/07/2026,27/07/2026,13190,10851,billing,12020,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,12020.0,12158.692307692307,12158.692307692307,10663.173153846154,10130.014496153846,10130.014496153846,10130.014496153846,150,130.7,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,928.58,61.79,61.79,60.29770533424909,1.8357661039136073,-88.21,96.0,0.0,0.0,0.0,0.0,0.0,96.0,34.21,-54.0,0.0
03/08/2026,03/08/2026,14763,12424,billing,13594,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,13594.0,13763.925,13763.925,11974.614749999999,11375.884012499999,11375.884012499999,11375.884012499999,150,141.3,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1042.79,68.74,68.74,67.71359531249999,1.8188189217406914,-81.26,96.0,0.0,0.0,0.0,0.0,0.0,96.0,27.26,-54.0,0.0
10/08/2026,10/08/2026,16082,13743,billing,14913,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,14913.0,15113.751923076923,15113.751923076923,13043.167909615386,12391.009514134616,12391.009514134616,12391.009514134616,150,135.6,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1135.84,74.39,74.39,73.75600901270604,1.8069446869118455,-75.61,95.0,0.0,0.0,1.0,1.0,1.0,95.0,20.61,-55.0,0.0
17/08/2026,17/08/2026,16549,14210,billing,15379,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,15379.0,15600.8125,15600.8125,13369.8963125,12701.401496874998,12701.401496874998,12701.401496874998,150,134.5,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1164.3,76.11,76.11,75.60358033854166,1.8036012944093802,-73.89,95.0,0.0,0.0,0.0,0.0,0.0,95.0,18.89,-55.0,0.0
24/08/2026,24/08/2026,16811,14472,billing,15642,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,15642.0,15882.646153846154,15882.646153846154,13500.24923076923,12825.236769230767,12825.236769230767,12825.236769230767,150,139.0,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1175.65,76.8,76.8,76.34069505494504,1.8023013965251278,-73.2,95.0,0.0,0.0,0.0,0.0,0.0,95.0,18.2,-55.0,0.0
31/08/2026,31/08/2026,17277,14939,billing,16108,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,16108.0,16371.303846153845,16371.303846153845,13817.380446153846,13126.511423846152,13126.511423846152,13126.511423846152,150,147.7,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1203.26,78.47,78.47,78.1339965705128,1.7992160910206318,-71.53,94.0,0.0,0.0,1.0,1.0,1.0,94.0,15.53,-56.0,0.0
07/09/2026,07/09/2026,17223,14884,billing,16054,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,16054.0,16331.85769230769,16331.85769230769,13686.096746153846,13686.096746153846,13686.096746153846,13686.096746153846,150,137.3,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1254.56,81.56,81.56,81.46486158424908,1.7937581995497074,-68.44,94.0,0.0,0.0,0.0,0.0,0.0,94.0,12.44,-56.0,0.0
14/09/2026,14/09/2026,17344,15005,billing,16174,350,85,27,37.5,100,110,call,1,84,80,20,18,350,0.91,0.23,37.5,16174.0,16469.486538461537,16469.486538461537,13686.143313461536,13686.143313461536,13686.143313461536,13686.143313461536,150,144.5,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1254.56,81.56,81.56,81.46513877060438,1.7937577593350074,-68.44,94.0,0.0,0.0,0.0,0.0,0.0,94.0,12.44,-56.0,0.0
